CUSTOMER_ID,NAME,EMAIL,PHONE,CITY,COUNTRY,ORDER_ID,CUSTOMER_ID,BOOK_ID,ORDER_DATE,QUANTITY,TOTAL_AMOUNT
84,"Gary Blair",leonardtaylor@bowers.net,1234567974,"Lake Paul",Armenia,1,84,169,2023-05-26,8,188.56
137,"Steven Miller",tsummers@yahoo.com,1234568027,"North Keith","Papua New Guinea",2,137,301,2023-01-23,10,216.60
216,"Phillip Allen",brianwatkins@gmail.com,1234568106,Kelseyfort,Micronesia,3,216,261,2024-05-27,6,85.50
433,"Corey Wells",swagner@robertson.net,1234568323,"East David",Zambia,4,433,343,2023-11-25,7,301.21
14,"John Wood",johnsonalexander@gmail.com,1234567904,Richardsonville,"New Caledonia",5,14,431,2023-07-26,7,136.36
439,"Shane Chang",melanie56@fleming.com,1234568329,Ramosstad,Liechtenstein,6,439,119,2024-10-11,5,249.40
195,"Dominique Turner",tracy39@smith-miller.com,1234568085,Rogersborough,Djibouti,7,195,467,2023-10-23,6,82.92
32,"Jeffrey Shannon",nmcmillan@smith.com,1234567922,"New Carlosbury",Malta,8,32,159,2024-05-07,4,144.84
109,"Jacob Kelley",qbarber@shelton.org,1234567999,Ravenberg,Macao,9,109,407,2024-01-04,9,379.71
94,"Mr. David Cox",millermichael@gmail.com,1234567984,"West Anthony","New Zealand",10,94,122,2024-07-09,4,123.00
454,"April Anderson",calexander@yahoo.com,1234568344,Micheleborough,Guyana,12,454,3,2024-06-17,2,31.50
420,"Andrew Murray",donaldjohnson@yahoo.com,1234568310,"North Joseph","Western Sahara",13,420,180,2023-06-08,5,125.45
454,"April Anderson",calexander@yahoo.com,1234568344,Micheleborough,Guyana,14,454,319,2023-08-24,2,85.22
127,"Joseph Mcmahon",sharon15@stone.com,1234568017,"Lake Mary",Reunion,15,127,479,2023-01-10,6,229.62
412,"Kevin Woodward",graysarah@yahoo.com,1234568302,"Lake Karen",Hungary,16,412,196,2023-10-06,8,53.52
462,"James Brewer",ebrown@ewing-warner.com,1234568352,Chandlerberg,Mongolia,17,462,481,2023-03-20,5,52.75
377,"Darrell Khan",anna59@hall.com,1234568267,Austinfort,Montenegro,18,377,101,2024-08-07,4,193.96
496,"Michelle Myers",patricia02@vega-callahan.com,1234568386,Davidview,"Netherlands Antilles",19,496,60,2023-11-17,9,316.26
356,"Mary Winters",evansandrew@walls.com,1234568246,Evanshaven,Bahamas,21,356,287,2024-12-05,3,120.57
177,"Sarah Powell",bryan44@yahoo.com,1234568067,Kaylatown,Guyana,22,177,427,2024-06-10,3,54.00
119,"Alyssa Cuevas",hholland@gmail.com,1234568009,"Lake Victormouth",Serbia,23,119,301,2023-08-04,3,64.98
266,"Robert Myers",hmoore@ortiz.com,1234568156,Ortizfurt,"Falkland Islands (Malvinas)",24,266,192,2023-07-10,3,145.11
265,"Cassandra Cole",mckenziealfred@gmail.com,1234568155,"Port Erinberg",Iraq,25,265,250,2023-05-25,10,126.50
151,"Katie Lang",perezjudith@delacruz.org,1234568041,"Lake Anthony",Belgium,28,151,423,2024-11-27,8,205.04
305,"Jeremy Pena",kmontgomery@carroll.info,1234568195,Perrytown,"New Caledonia",29,305,446,2023-10-05,8,275.92
438,"Ebony Ramos",rachel07@gmail.com,1234568328,"North Stephenmouth",Tajikistan,30,438,248,2023-09-23,6,281.94
386,"Pamela Gordon",mandy28@thomas-white.com,1234568276,"East Richardburgh",Yemen,31,386,279,2024-03-12,8,244.00
292,"Lindsey Roberts",erinkelly@robinson.com,1234568182,Lambertfort,Armenia,32,292,313,2024-12-06,4,188.64
478,"Spencer Rivera",candiceclayton@gmail.com,1234568368,Joshuabury,Grenada,33,478,253,2024-04-15,5,58.30
463,"Brandon Dunn",martinezdarren@hotmail.com,1234568353,"East Lindsey","Saint Kitts and Nevis",34,463,146,2024-06-27,3,43.50
303,"Jose Lee",russellthomas@thomas-perkins.com,1234568193,"East Erikatown",Iran,35,303,172,2023-07-08,5,184.10
417,"Melissa Frey",floresricardo@smith.org,1234568307,Erikaberg,Bahamas,36,417,260,2024-01-21,9,446.31
110,"Rachel Phillips",jgutierrez@gmail.com,1234568000,Chelseachester,Serbia,37,110,411,2023-12-27,4,60.12
15,"Vanessa Gaines",tbullock@gmail.com,1234567905,Rodriguezmouth,"Wallis and Futuna",38,15,466,2023-06-26,4,148.68
488,"Gerald Miranda",gregsmith@hotmail.com,1234568378,"North Brian","Heard Island and McDonald Islands",39,488,422,2024-08-03,8,367.28
120,"Rita Wallace",catherinehayes@hotmail.com,1234568010,"Lake Eric",Zimbabwe,40,120,450,2024-07-03,2,91.50
418,"Kiara Blankenship MD",grahamvictor@sutton.com,1234568308,Brandimouth,Belarus,41,418,147,2024-05-05,8,361.60
415,"James Ramirez",robert54@hall.com,1234568305,Maxwelltown,Canada,42,415,70,2023-09-19,3,70.35
199,"Anthony Simmons",brittanyellis@davis-scott.com,1234568089,"East Sandra",Micronesia,43,199,305,2024-03-25,7,221.62
234,"Mr. Jamie Rosario",kimberlyjones@moore.info,1234568124,Nicoleshire,Djibouti,44,234,460,2024-07-24,5,179.40
470,"Mary Vasquez DDS",kmullins@crawford.com,1234568360,"Lake Melissa",Turkey,45,470,67,2024-11-16,4,40.92
6,"Stephen Vasquez",ricemiguel@yahoo.com,1234567896,Hamiltonstad,Rwanda,47,6,360,2024-07-23,3,148.02
458,"Yvonne Martin",alyssanash@perez-luna.net,1234568348,"West Amanda",Cuba,48,458,477,2024-02-25,5,138.55
322,"William Cameron",lharrell@mcintyre.com,1234568212,Sanchezport,Mexico,49,322,336,2024-08-14,7,168.56
155,"James Stuart",staceycohen@chen.com,1234568045,"South Mariaside","Turks and Caicos Islands",51,155,491,2024-09-01,5,74.35
173,"Victoria Dixon",caseytina@yahoo.com,1234568063,Annhaven,"French Polynesia",52,173,161,2024-05-20,7,151.20
160,"Robert Brooks",johnnygriffith@gmail.com,1234568050,"Lake Sarahside",Finland,53,160,242,2024-01-02,3,101.37
446,"Michael Park",gjacobs@gmail.com,1234568336,"East Robert",Zimbabwe,54,446,393,2024-09-01,3,132.00
18,"David Watson",laurenlawson@alvarez-mcfarland.com,1234567908,"New Josephtown","Equatorial Guinea",55,18,281,2024-01-11,7,114.38
76,"Kim Wang",jonesdylan@gmail.com,1234567966,Janicemouth,Turkey,56,76,333,2024-11-06,5,138.80
